precision,recall,F1,method,data
0.05,0.006535947712418301,0.011560693641618498,decomp+IQR,exchange-3_cpm_results
0.08108108108108109,0.0196078431372549,0.031578947368421054,decomp+Chang+IQR,exchange-3_cpm_results
0.26047904191616766,0.5272727272727272,0.3486973947895792,Chang,exchange-4_cpc_results
0.29411764705882354,0.030303030303030304,0.054945054945054944,decomp+Chang,exchange-4_cpc_results
0.3076923076923077,0.048484848484848485,0.08376963350785341,decomp+IQR,exchange-4_cpc_results
0.3076923076923077,0.048484848484848485,0.08376963350785341,decomp+Chang+IQR,exchange-4_cpc_results
0.4375,0.08536585365853659,0.14285714285714288,Chang,exchange-4_cpm_results
0.4375,0.08536585365853659,0.14285714285714288,decomp+Chang,exchange-4_cpm_results
0.21739130434782608,0.03048780487804878,0.053475935828877004,decomp+IQR,exchange-4_cpm_results
0.3888888888888889,0.08536585365853659,0.13999999999999999,decomp+Chang+IQR,exchange-4_cpm_results
0.3125,0.06451612903225806,0.10695187165775401,Chang,grok_asg_anomaly
0.25,0.04946236559139785,0.08258527827648116,decomp+Chang,grok_asg_anomaly
0.52,0.33548387096774196,0.407843137254902,decomp+IQR,grok_asg_anomaly
0.4847560975609756,0.3419354838709677,0.4010088272383354,decomp+Chang+IQR,grok_asg_anomaly
0.1,0.031746031746031744,0.048192771084337345,Chang,iio_us-east-1_i-a2eb1cd9_NetworkIn
0.14634146341463414,0.047619047619047616,0.0718562874251497,decomp+Chang,iio_us-east-1_i-a2eb1cd9_NetworkIn
0.2236842105263158,0.1349206349206349,0.1683168316831683,decomp+IQR,iio_us-east-1_i-a2eb1cd9_NetworkIn
0.21428571428571427,0.16666666666666666,0.1875,decomp+Chang+IQR,iio_us-east-1_i-a2eb1cd9_NetworkIn
0.3684210526315789,0.009259259259259259,0.01806451612903226,Chang,machine_temperature_system_failure
1,0.007054673721340388,0.014010507880910681,decomp+Chang,machine_temperature_system_failure
0.8357487922705314,0.22883597883597884,0.35929387331256496,decomp+IQR,machine_temperature_system_failure
0.8357487922705314,0.22883597883597884,0.35929387331256496,decomp+Chang+IQR,machine_temperature_system_failure
0.21568627450980393,0.010628019323671498,0.020257826887661142,Chang,nyc_taxi
0.11494252873563218,0.028985507246376812,0.0462962962962963,decomp+Chang,nyc_taxi
0.146875,0.13623188405797101,0.14135338345864662,decomp+IQR,nyc_taxi
0.13520632133450394,0.14879227053140096,0.1416743330266789,decomp+Chang+IQR,nyc_taxi
0.1,0.0041841004184100415,0.008032128514056224,Chang,occupancy_6005
0.1,0.0041841004184100415,0.008032128514056224,decomp+Chang,occupancy_6005
0.16666666666666666,0.0041841004184100415,0.008163265306122448,decomp+IQR,occupancy_6005
0.09090909090909091,0.0041841004184100415,0.007999999999999998,decomp+Chang+IQR,occupancy_6005
0.8636363636363636,0.076,0.13970588235294118,Chang,occupancy_t4013
0.7777777777777778,0.028,0.05405405405405405,decomp+Chang,occupancy_t4013
1,0.04,0.07692307692307693,decomp+IQR,occupancy_t4013
0.8571428571428571,0.048,0.09090909090909091,decomp+Chang+IQR,occupancy_t4013
0.49019607843137253,0.06218905472636816,0.11037527593818984,Chang,rds_cpu_utilization_cc0c53
0.34615384615384615,0.04477611940298507,0.07929515418502202,decomp+Chang,rds_cpu_utilization_cc0c53
0.8,0.417910447761194,0.5490196078431372,decomp+IQR,rds_cpu_utilization_cc0c53
0.7844036697247706,0.4253731343283582,0.5516129032258065,decomp+Chang+IQR,rds_cpu_utilization_cc0c53
0.6486486486486487,0.11940298507462686,0.20168067226890757,Chang,rds_cpu_utilization_e47b3b
0.5,0.03233830845771144,0.06074766355140186,decomp+Chang,rds_cpu_utilization_e47b3b
0.5240641711229946,0.24378109452736318,0.33276740237691005,decomp+IQR,rds_cpu_utilization_e47b3b
0.5309278350515464,0.2562189054726368,0.3456375838926175,decomp+Chang+IQR,rds_cpu_utilization_e47b3b
0.23595505617977527,0.11052631578947368,0.15053763440860216,Chang,rogue_agent_key_hold
0.17857142857142858,0.02631578947368421,0.04587155963302752,decomp+Chang,rogue_agent_key_hold
0.35714285714285715,0.05263157894736842,0.09174311926605504,decomp+IQR,rogue_agent_key_hold
0.3055555555555556,0.05789473684210526,0.09734513274336283,decomp+Chang+IQR,rogue_agent_key_hold
0.08108108108108109,0.016981132075471698,0.028081123244929798,Chang,rogue_agent_key_updown
0.12962962962962962,0.052830188679245285,0.07506702412868632,decomp+Chang,rogue_agent_key_updown
0.10621761658031088,0.07735849056603773,0.08951965065502182,decomp+IQR,rogue_agent_key_updown
0.11264367816091954,0.09245283018867924,0.10155440414507771,decomp+Chang+IQR,rogue_agent_key_updown
1,0.012552301255230125,0.024793388429752063,Chang,speed_6005
1,0.012552301255230125,0.024793388429752063,decomp+Chang,speed_6005
1,0.012552301255230125,0.024793388429752063,decomp+IQR,speed_6005
1,0.012552301255230125,0.024793388429752063,decomp+Chang+IQR,speed_6005
0.7083333333333334,0.14655172413793102,0.24285714285714285,Chang,speed_7578
0.7083333333333334,0.14655172413793102,0.24285714285714285,decomp+Chang,speed_7578
0.7027027027027027,0.22413793103448276,0.33986928104575165,decomp+IQR,speed_7578
0.7209302325581395,0.2672413793103448,0.38993710691823896,decomp+Chang+IQR,speed_7578
0.75,0.108,0.18881118881118883,Chang,speed_t4013
0.6153846153846154,0.064,0.11594202898550723,decomp+Chang,speed_t4013
0.6666666666666666,0.096,0.16783216783216784,decomp+IQR,speed_t4013
0.6829268292682927,0.112,0.19243986254295534,decomp+Chang+IQR,speed_t4013
0.24066390041493776,0.23293172690763053,0.236734693877551,Chang,TravelTime_387
0.3,0.07228915662650602,0.11650485436893204,decomp+Chang,TravelTime_387
0.3333333333333333,0.14056224899598393,0.19774011299435026,decomp+IQR,TravelTime_387
0.33076923076923076,0.17269076305220885,0.22691292875989447,decomp+Chang+IQR,TravelTime_387
0.1958762886597938,0.08755760368663594,0.12101910828025476,Chang,TravelTime_451
0.20833333333333334,0.09216589861751152,0.12779552715654952,decomp+Chang,TravelTime_451
0.21100917431192662,0.10599078341013825,0.14110429447852763,decomp+IQR,TravelTime_451
0.2,0.1382488479262673,0.16348773841961856,decomp+Chang+IQR,TravelTime_451
0.2709251101321586,0.07745591939546599,0.12047012732615084,Chang,Twitter_volume_AAPL
0.27292576419213976,0.0787153652392947,0.1221896383186706,decomp+Chang,Twitter_volume_AAPL
0.4723076923076923,0.1933249370277078,0.2743521000893655,decomp+IQR,Twitter_volume_AAPL
