precision,recall,F1,method,data
0.1669449081803005,0.6644518272425249,0.266844563042028,decomp+Chang+IQR,poly-diff-count-4
0.5,0.029925187032418952,0.05647058823529411,Chang,poly-diff-count-5
0.5,0.0024937655860349127,0.004962779156327543,decomp+Chang,poly-diff-count-5
0.29411764705882354,0.24937655860349128,0.2699055330634278,decomp+IQR,poly-diff-count-5
0.29411764705882354,0.24937655860349128,0.2699055330634278,decomp+Chang+IQR,poly-diff-count-5
1.8162005085361425e-4,1,3.6317414200108956e-4,Chang,poly-length-1
0.02857142857142857,1,0.05555555555555556,decomp+Chang,poly-length-1
0.03125,1,0.06060606060606061,decomp+IQR,poly-length-1
0.02564102564102564,1,0.05,decomp+Chang+IQR,poly-length-1
0,0,0,Chang,poly-length-10
0,0,0,decomp+Chang,poly-length-10
0,0,0,decomp+IQR,poly-length-10
0,0,0,decomp+Chang+IQR,poly-length-10
0,0,0,Chang,poly-length-100
0,0,0,decomp+Chang,poly-length-100
0,0,0,decomp+IQR,poly-length-100
0,0,0,decomp+Chang+IQR,poly-length-100
0,0,0,Chang,poly-length-1000
0,0,0,decomp+Chang,poly-length-1000
0,0,0,decomp+IQR,poly-length-1000
0,0,0,decomp+Chang+IQR,poly-length-1000
0,0,0,Chang,poly-length-50
0,0,0,decomp+Chang,poly-length-50
0,0,0,decomp+IQR,poly-length-50
0,0,0,decomp+Chang+IQR,poly-length-50
0,0,0,Chang,poly-length-500
0,0,0,decomp+Chang,poly-length-500
0,0,0,decomp+IQR,poly-length-500
0,0,0,decomp+Chang+IQR,poly-length-500
0,0,0,Chang,poly-same-count-1
0,0,0,decomp+Chang,poly-same-count-1
0,0,0,decomp+IQR,poly-same-count-1
0,0,0,decomp+Chang+IQR,poly-same-count-1
0,0,0,Chang,poly-same-count-10
0.1111111111111111,0.041,0.05989773557341125,decomp+Chang,poly-same-count-10
0,0,0,decomp+IQR,poly-same-count-10
0.1111111111111111,0.041,0.05989773557341125,decomp+Chang+IQR,poly-same-count-10
0,0,0,Chang,poly-same-count-2
0,0,0,decomp+Chang,poly-same-count-2
0,0,0,decomp+IQR,poly-same-count-2
0,0,0,decomp+Chang+IQR,poly-same-count-2
0,0,0,Chang,poly-same-count-5
0.27100271002710025,0.2,0.23014959723820483,decomp+Chang,poly-same-count-5
0,0,0,decomp+IQR,poly-same-count-5
0.27100271002710025,0.2,0.23014959723820483,decomp+Chang+IQR,poly-same-count-5
0,0,0,Chang,poly-trend-linear
0,0,0,decomp+Chang,poly-trend-linear
0,0,0,decomp+IQR,poly-trend-linear
0,0,0,decomp+Chang+IQR,poly-trend-linear
0,0,0,Chang,poly-trend-quadratic
0,0,0,decomp+Chang,poly-trend-quadratic
0,0,0,decomp+IQR,poly-trend-quadratic
0,0,0,decomp+Chang+IQR,poly-trend-quadratic
0,0,0,Chang,poly-trend-sine
0,0,0,decomp+Chang,poly-trend-sine
0,0,0,decomp+IQR,poly-trend-sine
0,0,0,decomp+Chang+IQR,poly-trend-sine
0.07692307692307693,1,0.14285714285714288,Chang,poly-type-extremum
0.030303030303030304,1,0.05882352941176471,decomp+Chang,poly-type-extremum
0.03225806451612903,1,0.0625,decomp+IQR,poly-type-extremum
0.02564102564102564,1,0.05,decomp+Chang+IQR,poly-type-extremum
0,0,0,Chang,poly-type-mean
0,0,0,decomp+Chang,poly-type-mean
0,0,0,decomp+IQR,poly-type-mean
0,0,0,decomp+Chang+IQR,poly-type-mean
0.5,0.12,0.1935483870967742,Chang,poly-type-platform
1,1,1,decomp+Chang,poly-type-platform
0.2403846153846154,1,0.3875968992248062,decomp+IQR,poly-type-platform
0.2403846153846154,1,0.3875968992248062,decomp+Chang+IQR,poly-type-platform
0,0,0,Chang,poly-type-trend
0,0,0,decomp+Chang,poly-type-trend
0,0,0,decomp+IQR,poly-type-trend
0,0,0,decomp+Chang+IQR,poly-type-trend
0,0,0,Chang,poly-type-variance
0,0,0,decomp+Chang,poly-type-variance
0,0,0,decomp+IQR,poly-type-variance
0,0,0,decomp+Chang+IQR,poly-type-variance
0.972972972972973,0.84,0.9016100178890876,Chang,rw-combined-diff-1
0.9307116104868914,0.8283333333333334,0.8765432098765432,decomp+Chang,rw-combined-diff-1
1,0.265,0.41897233201581024,decomp+IQR,rw-combined-diff-1
0.9363166953528399,0.9066666666666666,0.9212531752751904,decomp+Chang+IQR,rw-combined-diff-1
0.5,0.007142857142857143,0.014084507042253521,Chang,rw-combined-diff-2
